date,series_ticker,event_ticker,market_ticker,strike_type,threshold,floor_strike,cap_strike,last_price,yes_bid,yes_ask,no_bid,no_ask,volume,open_interest,result,settlement_value,expiration_value,status,ticker,mu,sigma,model_prob,market_prob,edge,settlement,direction,entry_price,entry_edge,exit_type,exit_price,fee_per_contract,pnl_per_contract_gross,pnl_per_contract,fee_dollars,pnl_dollars
2025-10-09,KXHIGHAUS,KXHIGHAUS-25OCT09,KXHIGHAUS-25OCT09-B92.5,between,92.5,92.0,93.0,0.99,0.0,1.0,0.0,1.0,21913.0,0.0,yes,1.0,93.0,finalized,KXHIGHAUS,92.15641589164733,1.1135224,0.3315047153976983,0.99,-0.6584952846023017,1.0,NO,1.0000000000000009,0.6584952846023017,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2025-10-09,KXHIGHAUS,KXHIGHAUS-25OCT09,KXHIGHAUS-25OCT09-B90.5,between,90.5,90.0,91.0,0.01,0.0,1.0,0.0,1.0,9036.0,0.0,no,0.0,93.0,finalized,KXHIGHAUS,92.15641589164733,1.1135224,0.12311502423837069,0.01,0.11311502423837069,0.0,YES,1.0,0.11311502423837069,stop_loss,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2025-10-10,KXHIGHAUS,KXHIGHAUS-25OCT10,KXHIGHAUS-25OCT10-B92.5,between,92.5,92.0,93.0,0.99,0.0,1.0,0.0,1.0,19675.0,0.0,yes,1.0,92.0,finalized,KXHIGHAUS,92.27220244407654,1.0018616,0.37328942824458505,0.99,-0.6167105717554149,1.0,NO,1.0000000000000009,0.6167105717554149,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2025-10-11,KXHIGHAUS,KXHIGHAUS-25OCT11,KXHIGHAUS-25OCT11-B93.5,between,93.5,93.0,94.0,0.99,0.0,1.0,0.0,1.0,22472.0,0.0,yes,1.0,93.0,finalized,KXHIGHAUS,93.10835371017457,0.9500001,0.37142899387364514,0.99,-0.6185710061263548,1.0,NO,1.0000000000000009,0.6185710061263548,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2025-10-12,KXHIGHAUS,KXHIGHAUS-25OCT12,KXHIGHAUS-25OCT12-B92.5,between,92.5,92.0,93.0,0.99,0.0,1.0,0.0,1.0,14194.0,0.0,yes,1.0,92.0,finalized,KXHIGHAUS,91.73406380017597,1.055166,0.28538986497488694,0.99,-0.704610135025113,1.0,NO,1.0000000000000009,0.704610135025113,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2025-10-12,KXHIGHAUS,KXHIGHAUS-25OCT12,KXHIGHAUS-25OCT12-B90.5,between,90.5,90.0,91.0,0.01,0.0,1.0,0.0,1.0,17103.0,0.0,no,0.0,92.0,finalized,KXHIGHAUS,91.73406380017597,1.055166,0.19316316198312067,0.01,0.18316316198312066,0.0,YES,1.0,0.18316316198312066,stop_loss,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2025-10-13,KXHIGHAUS,KXHIGHAUS-25OCT13,KXHIGHAUS-25OCT13-B92.5,between,92.5,92.0,93.0,0.01,0.0,1.0,0.0,1.0,21550.0,0.0,no,0.0,91.0,finalized,KXHIGHAUS,91.50645179748534,0.921822,0.24359164143835899,0.01,0.23359164143835898,0.0,YES,1.0,0.23359164143835898,stop_loss,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2025-10-13,KXHIGHAUS,KXHIGHAUS-25OCT13,KXHIGHAUS-25OCT13-B90.5,between,90.5,90.0,91.0,0.99,0.0,1.0,0.0,1.0,26819.0,0.0,yes,1.0,91.0,finalized,KXHIGHAUS,91.50645179748534,0.921822,0.24025718840254062,0.99,-0.7497428115974594,1.0,NO,1.0000000000000009,0.7497428115974594,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2025-10-14,KXHIGHAUS,KXHIGHAUS-25OCT14,KXHIGHAUS-25OCT14-B91.5,between,91.5,91.0,92.0,0.99,0.0,1.0,0.0,1.0,20656.0,0.0,yes,1.0,91.0,finalized,KXHIGHAUS,91.06419273217519,1.0910653,0.327929274716984,0.99,-0.662070725283016,1.0,NO,1.0000000000000009,0.662070725283016,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2025-10-14,KXHIGHAUS,KXHIGHAUS-25OCT14,KXHIGHAUS-25OCT14-B89.5,between,89.5,89.0,90.0,0.01,0.0,1.0,0.0,1.0,14819.0,0.0,no,0.0,91.0,finalized,KXHIGHAUS,91.06419273217519,1.0910653,0.13543652539010087,0.01,0.12543652539010086,0.0,YES,1.0,0.12543652539010086,stop_loss,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2025-10-15,KXHIGHAUS,KXHIGHAUS-25OCT15,KXHIGHAUS-25OCT15-B93.5,between,93.5,93.0,94.0,0.99,0.0,1.0,0.0,1.0,10051.0,0.0,yes,1.0,93.0,finalized,KXHIGHAUS,92.44898786544799,0.99871707,0.2303590926816408,0.99,-0.7596409073183592,1.0,NO,1.0000000000000009,0.7596409073183592,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2025-10-15,KXHIGHAUS,KXHIGHAUS-25OCT15,KXHIGHAUS-25OCT15-B91.5,between,91.5,91.0,92.0,0.01,0.0,1.0,0.0,1.0,17247.0,0.0,no,0.0,93.0,finalized,KXHIGHAUS,92.44898786544799,0.99871707,0.2531012723804773,0.01,0.2431012723804773,0.0,YES,1.0,0.2431012723804773,stop_loss,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
