date,series_ticker,event_ticker,market_ticker,strike_type,threshold,floor_strike,cap_strike,last_price,yes_bid,yes_ask,no_bid,no_ask,volume,open_interest,result,settlement_value,expiration_value,status,ticker,mu,sigma,model_prob,market_prob,edge,settlement,direction,entry_price,settle_value,fee_per_contract,pnl_per_contract_gross,pnl_per_contract,fee_dollars,pnl_dollars
2026-03-10,KXHIGHTSATX,KXHIGHTSATX-26MAR10,KXHIGHTSATX-26MAR10-B82.5,between,82.5,82.0,83.0,0.01,0.0,1.0,0.0,1.0,3971.0,0.0,no,0.0,84.0,finalized,KXHIGHTSATX,83.99871074358622,1.1162778,0.14879357033043958,0.01,0.13879357033043957,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-11,KXHIGHTSATX,KXHIGHTSATX-26MAR11,KXHIGHTSATX-26MAR11-B85.5,between,85.5,85.0,86.0,0.99,0.0,1.0,0.0,1.0,8506.0,0.0,yes,1.0,85.0,finalized,KXHIGHTSATX,83.33428308963776,1.1170712,0.0594531032819442,0.99,-0.9305468967180558,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-11,KXHIGHTSATX,KXHIGHTSATX-26MAR11,KXHIGHTSATX-26MAR11-B83.5,between,83.5,83.0,84.0,0.01,0.0,1.0,0.0,1.0,12452.0,0.0,no,0.0,85.0,finalized,KXHIGHTSATX,83.33428308963776,1.1170712,0.34202038874668617,0.01,0.33202038874668616,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-12,KXHIGHTSATX,KXHIGHTSATX-26MAR12,KXHIGHTSATX-26MAR12-B71.5,between,71.5,71.0,72.0,0.01,0.0,1.0,0.0,1.0,4819.0,0.0,no,0.0,70.0,finalized,KXHIGHTSATX,70.19954698880514,0.9969354,0.1755521989626636,0.01,0.1655521989626636,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-12,KXHIGHTSATX,KXHIGHTSATX-26MAR12,KXHIGHTSATX-26MAR12-B69.5,between,69.5,69.0,70.0,0.99,0.0,1.0,0.0,1.0,5665.0,0.0,yes,1.0,70.0,finalized,KXHIGHTSATX,70.19954698880514,0.9969354,0.3062347547964255,0.99,-0.6837652452035745,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-13,KXHIGHTSATX,KXHIGHTSATX-26MAR13,KXHIGHTSATX-26MAR13-B80.5,between,80.5,80.0,81.0,0.99,0.0,1.0,0.0,1.0,6246.0,0.0,yes,1.0,81.0,finalized,KXHIGHTSATX,79.88175324598949,0.8885667,0.3429582791047475,0.99,-0.6470417208952525,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-13,KXHIGHTSATX,KXHIGHTSATX-26MAR13,KXHIGHTSATX-26MAR13-B78.5,between,78.5,78.0,79.0,0.01,0.0,1.0,0.0,1.0,9269.0,0.0,no,0.0,81.0,finalized,KXHIGHTSATX,79.88175324598949,0.8885667,0.14341922724723596,0.01,0.13341922724723596,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-14,KXHIGHTSATX,KXHIGHTSATX-26MAR14,KXHIGHTSATX-26MAR14-B87.5,between,87.5,87.0,88.0,0.99,0.0,1.0,0.0,1.0,7094.0,0.0,yes,1.0,88.0,finalized,KXHIGHTSATX,87.14034465948741,0.8556768,0.40760791792747364,0.99,-0.5823920820725264,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-15,KXHIGHTSATX,KXHIGHTSATX-26MAR15,KXHIGHTSATX-26MAR15-T95,greater,95.0,95.0,,0.99,0.0,1.0,0.0,1.0,7215.0,0.0,yes,1.0,98.0,finalized,KXHIGHTSATX,95.81811808745067,0.8701866,0.8264332622545005,0.99,-0.16356673774549946,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-15,KXHIGHTSATX,KXHIGHTSATX-26MAR15,KXHIGHTSATX-26MAR15-B94.5,between,94.5,94.0,95.0,0.01,0.0,1.0,0.0,1.0,3513.0,0.0,no,0.0,98.0,finalized,KXHIGHTSATX,95.81811808745067,0.8701866,0.155228295690618,0.01,0.145228295690618,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
