date,nn_forecast,nwp_forecast,actual,nn_sigma,fcst_gfs_global,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless,fcst_ncep_hrrr_conus,month,nn_load_error_mw,nwp_load_error_mw,fcst_gfs_global_load_error_mw,fcst_ecmwf_ifs025_load_error_mw,fcst_icon_seamless_load_error_mw,fcst_gem_seamless_load_error_mw,fcst_jma_seamless_load_error_mw,fcst_ncep_hrrr_conus_load_error_mw,da_rt_spread,dam_price_avg,rtm_price_avg,nn_cost,nwp_cost,daily_savings,cumulative_savings,fcst_gfs_global_cost,fcst_ecmwf_ifs025_cost,fcst_icon_seamless_cost,fcst_gem_seamless_cost,fcst_jma_seamless_cost,fcst_ncep_hrrr_conus_cost
2025-06-15,91.15600321531295,89.0275,91.74999999999999,0.7728965732673712,92.775,84.905,88.96,90.595,86.33500000000001,90.595,6,-296.998392343518,-1361.2499999999911,512.50000000001,-3422.4999999999923,-1394.999999999996,-577.4999999999934,-2707.499999999989,-577.4999999999934,7.619687500000001,30.95625,23.3365625,18104.27950128,82978.39687499947,64874.11737371946,4050242.265543368,31240.718750000615,208627.04374999958,85035.71249999976,35202.9562499996,165042.43124999935,35202.9562499996
2025-06-16,94.52857441266379,91.88083333333333,92.55,0.8064822609092247,95.75999999999999,88.235,92.335,91.98499999999999,89.705,93.265,6,989.2872063318947,-334.58333333333456,1604.9999999999968,-2157.499999999999,-107.5000000000017,-282.50000000000597,-1422.4999999999995,357.5000000000017,-0.0593750000000028,37.10375,37.163125,469.91142300767217,158.92708333334141,-310.9843396743307,4049931.2812036937,762.3750000000344,1024.812500000048,51.06250000000322,134.18750000000915,675.6875000000316,169.8125000000088
2025-06-17,94.33327943563461,92.655,93.85,0.7723539376209163,95.33,90.545,94.38499999999999,92.92500000000001,89.68,93.065,6,241.6397178173071,-597.4999999999966,740.000000000002,-1652.4999999999964,267.4999999999983,-462.4999999999915,-2084.9999999999936,-392.4999999999983,-2.481874999999995,35.16125,37.643125,4797.756597262623,11863.362499999908,7065.605902737286,4056996.887106431,14692.700000000012,32810.387499999866,5311.212499999956,9182.937499999813,41397.67499999979,7793.0874999999505
2025-06-18,94.26817601044972,92.32833333333333,93.95,0.7202516892140927,95.45499999999998,91.15,93.11,92.69,88.63,92.935,6,159.08800522485933,-810.8333333333348,752.4999999999907,-1399.9999999999986,-420.0000000000017,-630.0000000000025,-2660.0000000000036,-507.5000000000003,13.627499999999998,48.16375,34.53625,17343.77432961416,88397.05000000015,71053.27567038599,4128050.162776817,82037.54999999897,152627.99999999983,45788.400000000176,68682.60000000027,289993.20000000036,55327.65000000002
2025-06-19,95.15448531945546,93.12333333333332,94.44999999999999,0.7258703678059503,96.51499999999999,91.485,93.605,93.63,89.565,93.94,6,352.24265972773594,-663.3333333333339,1032.4999999999989,-1482.4999999999945,-422.4999999999923,-409.9999999999966,-2442.4999999999955,-254.99999999999545,-3.3531249999999986,47.8525,51.205625,9448.909347196513,17793.916666666675,8345.007319470162,4136395.170096287,27696.812499999956,39768.06249999984,11333.562499999789,10998.249999999904,65520.06249999985,6840.374999999875
2025-06-20,94.77679157614708,93.51,94.94999999999999,0.790504140813781,96.57999999999998,92.44,93.92999999999999,93.455,90.785,93.86999999999999,6,-86.60421192645629,-719.9999999999918,814.9999999999977,-1254.9999999999955,-509.999999999998,-747.4999999999952,-2082.499999999996,-539.9999999999991,-5.018124999999998,42.5125,47.530625,3476.726087787586,28904.39999999966,25427.673912212074,4161822.8440084993,32718.174999999894,50381.974999999795,20473.94999999991,30008.387499999793,83601.9624999998,21678.299999999952
2025-06-21,93.9353791308403,92.89500000000001,94.25,0.7858918808121714,96.315,92.06,93.045,92.49000000000001,90.475,92.985,6,-157.3104345798484,-677.4999999999949,1032.4999999999989,-1094.9999999999989,-602.4999999999991,-879.9999999999955,-1887.5000000000027,-632.5000000000002,10.6125,39.8425,29.23,13355.65589582913,57519.74999999957,44164.09410417044,4205986.93811267,87659.24999999991,92965.49999999991,51152.24999999993,74711.99999999962,160248.75000000023,53699.25000000002
2025-06-22,94.38213676134745,92.82416666666666,94.1,0.7252052322888686,95.865,91.095,92.905,92.92,90.72,93.44,6,141.06838067372962,-637.9166666666691,882.5000000000002,-1502.4999999999977,-597.4999999999966,-589.9999999999964,-1689.9999999999977,-329.9999999999983,14.85,38.02875,23.17875,16758.92362403908,75784.50000000029,59025.57637596122,4265012.514488631,104841.00000000003,178496.99999999974,70982.99999999959,70091.99999999956,200771.99999999974,39203.999999999796
2025-06-23,94.54283177236715,93.24666666666667,93.94999999999999,0.8055651252802064,97.01499999999999,92.12,93.705,92.68499999999999,90.425,93.53,6,296.4158861835813,-351.66666666665947,1532.4999999999989,-914.999999999992,-122.49999999999517,-632.5000000000002,-1762.4999999999957,-209.99999999999375,8.441562500000003,40.155,31.7134375,20017.70583369271,23748.92916666619,3731.223332973477,4268743.737821604,103493.55624999997,61792.237499999486,8272.731249999677,42714.30625000003,119026.03124999975,14181.824999999584
2025-06-24,93.71167169014612,92.31666666666666,94.55,0.7443961238025819,95.57000000000001,90.47,92.71000000000001,91.97,90.19500000000001,92.985,6,-419.16415492693915,-1116.6666666666672,510.0000000000051,-2039.999999999999,-919.9999999999945,-1289.999999999999,-2177.499999999995,-782.4999999999989,4.866875,37.2675,32.400625,16320.156372080377,43477.41666666669,27157.26029458632,4295900.998116191,19856.8500000002,79427.39999999997,35820.199999999786,50226.149999999965,84780.9624999998,30466.637499999957
2025-06-25,90.5759267137448,89.10166666666667,91.35,0.7495506430592812,91.55499999999999,87.38499999999999,89.32000000000001,88.61999999999999,87.185,90.54499999999999,6,-387.036643127594,-1124.1666666666604,102.49999999999915,-1982.5000000000018,-1014.9999999999934,-1365.000000000002,-2082.499999999996,-402.5000000000034,6.144687499999996,35.5575,29.4128125,19025.75378454469,55261.222916666324,36235.46913212164,4332136.467248312,5038.643749999955,97454.74375000004,49894.86249999965,67099.98750000006,102370.49374999973,19785.893750000156
2025-06-26,92.87735296090443,90.59583333333333,93.74999999999999,0.7645471669997357,93.19,87.34,91.23,90.405,89.185,92.225,6,-436.32351954777704,-1577.0833333333271,-279.99999999999403,-3204.9999999999914,-1259.999999999991,-1672.4999999999923,-2282.499999999992,-762.4999999999957,-1.6546875000000014,38.03125,39.6859375,5775.832590013703,20876.640624999935,15100.808034986232,4347237.275283298,3706.499999999924,42426.18749999992,16679.249999999894,22139.718749999916,30214.593749999916,10093.59374999995
2025-06-27,93.81795486768087,92.76833333333333,93.85,0.7682734916098218,94.85499999999999,91.13499999999999,93.625,92.085,92.47999999999999,92.42999999999999,6,-16.022566159563212,-540.8333333333317,502.4999999999977,-1357.5000000000018,-112.49999999999716,-882.5000000000002,-685.0000000000023,-710.0000000000009,-2.774687499999999,38.84,41.6146875,355.6609123269042,12005.147916666625,11649.48700433972,4358886.762287638,11154.243749999945,30133.10625000003,2497.218749999936,19589.293749999997,15205.287500000044,15760.225000000013
2025-06-28,94.38046461065609,93.64083333333333,94.5,0.7616518151633827,96.30000000000001,92.715,93.855,92.655,93.16499999999999,93.155,6,-59.76769467195453,-429.5833333333334,900.0000000000057,-892.4999999999983,-322.499999999998,-922.4999999999994,-667.500000000004,-672.4999999999994,1.5218750000000014,34.31875,32.796875,727.6716826310471,5230.177083333339,4502.505400702292,4363389.2676883405,10957.50000000008,10866.187499999989,3926.4374999999795,11231.437500000004,8126.812500000056,8187.687500000001
2025-06-29,93.04398616313935,91.84750000000001,93.94999999999999,0.7583896114789711,94.88499999999999,88.88,91.89,91.645,91.675,92.11000000000001,6,-453.0069184303187,-1051.2499999999889,467.50000000000114,-2534.9999999999964,-1029.999999999994,-1152.4999999999964,-1137.4999999999957,-919.9999999999875,4.52375,31.2,26.67625,16394.320377993234,38044.737499999595,21650.41712200636,4385039.684810347,16918.82500000004,91741.64999999986,37275.699999999786,41708.97499999987,41166.12499999984,33294.799999999545
2025-06-30,94.22189334789911,92.71416666666666,93.94999999999999,0.7299948184028696,95.835,90.565,93.38,92.49,91.10999999999999,92.905,6,135.9466739495616,-617.9166666666661,942.5000000000025,-1692.4999999999955,-284.9999999999966,-729.9999999999968,-1420.0000000000018,-522.4999999999937,8.731249999999996,50.9725,42.24125,9495.875175376874,43161.479166666606,33665.60399128973,4418705.288801637,65833.62500000015,118221.12499999962,19907.249999999753,50990.49999999975,99187.00000000007,36496.62499999955
2025-07-01,93.67108602364858,93.01083333333334,93.59999999999998,0.9233119012648267,97.28999999999999,91.505,92.53999999999999,92.24499999999999,91.82,92.665,7,35.543011824302084,-294.5833333333212,1845.000000000006,-1047.4999999999923,-529.9999999999941,-677.4999999999949,-889.9999999999934,-467.4999999999869,-33.158125,53.7525,86.910625,9428.317031573491,78142.64791666345,68714.33088508996,4487419.6196867265,489413.92500000156,277865.0874999979,140590.4499999984,179717.03749999864,236085.84999999823,124011.38749999652
2025-07-02,93.07038871506852,92.33916666666667,93.69999999999999,0.8804940952014217,95.83,90.465,92.545,92.18999999999998,91.065,91.94,7,-314.8056424657355,-680.4166666666589,1065.0000000000048,-1617.4999999999927,-577.4999999999934,-755.0000000000025,-1317.4999999999955,-879.9999999999955,-0.3503125000000011,43.6575,44.0078125,882.2428130102264,1906.8677083333175,1024.624895323091,4488444.24458205,2984.6625000000226,4533.043749999993,1618.4437499999865,2115.8875000000135,3692.2937499999985,2466.199999999995
2025-07-03,88.57204143116871,87.35166666666667,90.25,0.9199102610768128,89.16999999999999,83.80999999999999,87.96499999999999,88.48,86.25999999999999,88.425,7,-838.9792844156432,-1449.166666666663,-540.0000000000063,-3220.000000000006,-1142.5000000000055,-884.999999999998,-1995.0000000000045,-912.5000000000014,10.7015625,44.83,34.1284375,71827.11398703424,124066.7812499997,52239.66726296545,4540683.911845015,46230.75000000053,275672.2500000005,97812.28125000047,75767.06249999983,170796.93750000038,78121.40625000012
2025-07-04,87.84740080634751,86.50416666666666,87.95,0.8917010135066489,87.285,85.27000000000001,87.905,87.345,84.82000000000001,86.4,7,-51.299596826247296,-722.9166666666699,-332.5000000000031,-1339.9999999999964,-22.500000000000853,-302.500000000002,-1564.9999999999977,-774.9999999999986,4.518749999999997,31.23625,26.7175,1854.4804252688386,26133.437500000102,24278.957074731265,4564962.868919747,12019.875000000106,48440.99999999984,813.3750000000304,10935.375000000065,56574.74999999988,28016.249999999935
